time,seconds_elapsed,z,y,x
1750742373872996000,0.07899609375,-29.393447875976562,-22.680862426757812,-29.73925018310547
1750742373898069200,0.1040693359375,-29.373306274414062,-22.421398162841797,-30.081878662109375
1750742373923142100,0.12914208984375,-27.48773193359375,-23.741683959960938,-30.917320251464844
1750742373948216000,0.154216064453125,-25.599411010742188,-25.19870376586914,-31.384132385253906
1750742373973289000,0.1792890625,-23.9820556640625,-26.834915161132812,-31.376075744628906
1750742373998362000,0.204362060546875,-22.883560180664062,-27.94869041442871,-31.13054656982422
1750742374023434800,0.229434814453125,-21.653411865234375,-28.537708282470703,-31.948776245117188
1750742374048508000,0.2545078125,-20.193145751953125,-28.982467651367188,-32.511322021484375
1750742374073581800,0.279581787109375,-19.99566650390625,-28.888336181640625,-32.80516052246094
1750742374098655000,0.304655029296875,-19.127548217773438,-29.108476638793945,-33.072174072265625
1750742374123728000,0.329727783203125,-18.6837158203125,-28.93548583984375,-33.32319641113281
1750742374148800800,0.35480078125,-16.66424560546875,-28.64469337463379,-34.67772674560547
1750742374173875000,0.379875,-15.508636474609375,-28.479469299316406,-35.55182647705078
1750742374198947800,0.40494775390625,-12.580184936523438,-27.944936752319336,-36.87476348876953
1750742374224021000,0.43002099609375,-10.982925415039062,-27.386350631713867,-37.79865264892578
1750742374249094000,0.455093994140625,-8.942398071289062,-26.710054397583008,-39.01209259033203
1750742374274168000,0.48016796875,-5.5375518798828125,-25.108928680419922,-41.03758239746094
1750742374299240700,0.50524072265625,-3.3105926513671875,-23.550405502319336,-42.428321838378906
1750742374324313900,0.53031396484375,0.2641143798828125,-21.288450241088867,-43.889854431152344
1750742374349387800,0.5553876953125,1.4929962158203125,-19.81960678100586,-44.70220184326172
1750742374374461000,0.5804609375,4.718231201171875,-16.671916961669922,-46.486610412597656
1750742374399534000,0.6055341796875,8.352401733398438,-14.108978271484375,-47.34571838378906
1750742374424606700,0.630606689453125,12.279098510742188,-11.057441711425781,-47.61058807373047
1750742374449681000,0.655680908203125,17.644454956054688,-5.154125213623047,-47.642921447753906
1750742374474753800,0.68075390625,20.597152709960938,-1.2305717468261719,-47.267982482910156
1750742374499827000,0.705826904296875,25.30743408203125,4.601192474365234,-45.64369201660156
1750742374524899800,0.73089990234375,27.683578491210938,8.510063171386719,-43.860076904296875
1750742374549974000,0.75597412109375,30.66607666015625,13.784782409667969,-41.22880554199219
1750742374575047000,0.781046875,32.73847961425781,17.575927734375,-38.63538360595703
1750742374600119800,0.806119873046875,34.826324462890625,23.643218994140625,-33.53520202636719
1750742374625193000,0.83119287109375,36.45027160644531,26.93170166015625,-29.54700469970703
1750742374650267000,0.856266845703125,37.942779541015625,29.490459442138672,-25.400611877441406
1750742374675340000,0.881340087890625,40.166534423828125,31.97332763671875,-18.835006713867188
1750742374700413000,0.906412841796875,41.792388916015625,32.56075668334961,-14.665130615234375
1750742374725487000,0.931487060546875,44.14097595214844,31.747116088867188,-9.700714111328125
1750742374750559700,0.956559814453125,45.61637878417969,30.395511627197266,-8.663475036621094
1750742374775633000,0.9816328125,46.52339172363281,29.16553497314453,-10.482063293457031
1750742374800705800,1.006705810546875,46.35009765625,28.641098022460938,-14.063056945800781
1750742374825780000,1.031780029296875,46.17559814453125,27.83544158935547,-15.437797546386719
1750742374850852900,1.056852783203125,46.17364501953125,27.55547332763672,-14.685440063476562
1750742374875926000,1.081926025390625,46.70582580566406,28.073341369628906,-12.388053894042969
1750742374901000000,1.107,47.17848205566406,28.308738708496094,-9.216842651367188
1750742374926072800,1.13207275390625,48.083587646484375,27.357955932617188,-8.8533935546875
1750742374951146000,1.15714599609375,49.942161560058594,25.142169952392578,-10.193153381347656
1750742374976219000,1.182218994140625,50.566673278808594,24.736934661865234,-10.388832092285156
1750742375001293000,1.20729296875,51.291481018066406,25.115856170654297,-8.761566162109375
1750742375026366000,1.232365966796875,51.63421630859375,24.807918548583984,-7.61358642578125
1750742375051438800,1.25743896484375,51.757164001464844,24.98489761352539,-6.455848693847656
1750742375076512800,1.2825126953125,51.51697540283203,25.233821868896484,-5.193626403808594
1750742375101586000,1.3075859375,51.802207946777344,25.60330581665039,-1.830596923828125
1750742375126658800,1.332658935546875,50.39240264892578,26.718990325927734,6.083168029785156
1750742375151733000,1.35773291015625,48.823265075683594,27.7615966796875,12.986030578613281
1750742375176806000,1.382805908203125,45.24058532714844,27.466705322265625,22.181297302246094
1750742375201880000,1.407880126953125,43.841217041015625,25.95209503173828,26.545066833496094
1750742375226953000,1.432952880859375,43.66011047363281,24.36095428466797,28.180877685546875
1750742375252025900,1.45802587890625,43.972625732421875,23.19928741455078,29.019943237304688
1750742375277099800,1.483099853515625,44.75926208496094,21.901512145996094,28.872650146484375
1750742375302173000,1.5081728515625,46.73649597167969,19.82094955444336,27.058815002441406
1750742375327245800,1.533245849609375,48.61079406738281,19.069969177246094,24.505401611328125
1750742375352320000,1.558320068359375,49.284889221191406,16.806747436523438,26.008155822753906
1750742375377393000,1.583392822265625,49.17494201660156,16.12850570678711,27.234031677246094
1750742375402467000,1.608467041015625,48.5791015625,12.861553192138672,30.21350860595703
1750742375427539700,1.633539794921875,48.308013916015625,8.014362335205078,32.614837646484375
