window_id,start_index,end_index,best_match,dtw_distance,label,similarity_score
U_370,14760,14959,Agg_67,309.7359988767208,Aggressive,0.6031477347360642
U_371,14800,14999,Agg_68,294.20289271854233,Aggressive,0.6186362194410506
U_372,14840,15039,Agg_68,295.9600096294868,Aggressive,0.6168643864119411
U_373,14880,15079,Agg_70,334.4274458959358,Aggressive,0.5793214107374834
U_374,14920,15119,Agg_33,324.2603818180396,Aggressive,0.589016088505971
U_375,14960,15159,Agg_148,313.302835843375,Aggressive,0.5996462458848986
U_376,15000,15199,Agg_33,319.071299430537,Aggressive,0.594026435389573
U_377,15040,15239,Agg_150,347.2450917060407,Aggressive,0.5673263645004131
U_378,15080,15279,Agg_69,351.1699901258907,Aggressive,0.5637032639474999
U_379,15120,15319,Agg_70,360.6179490161035,Aggressive,0.5550763907058408
U_380,15160,15359,Agg_168,374.3628046873952,Aggressive,0.5427612450971295
U_381,15200,15399,Agg_104,354.38327835461223,Aggressive,0.5607542880523119
U_382,15240,15439,Agg_104,348.0996713710313,Aggressive,0.5665355181597415
U_383,15280,15479,Agg_105,354.5601662808575,Aggressive,0.5605923989699134
U_384,15320,15519,Agg_107,348.4286643013446,Aggressive,0.5662313550324709
U_385,15360,15559,Agg_104,334.0854504429036,Aggressive,0.5796449079965347
U_386,15400,15599,Agg_105,344.2004349242736,Aggressive,0.5701529389030621
U_387,15440,15639,Agg_116,344.5379344059433,Aggressive,0.569838921065049
U_388,15480,15679,Agg_51,361.8454109745448,Aggressive,0.5539653364881977
U_389,15520,15719,Agg_52,358.51128921860857,Aggressive,0.5569884597180929
U_390,15560,15759,Agg_67,356.2149308858072,Aggressive,0.5590802085514985
U_391,15600,15799,Agg_68,347.0780805141838,Aggressive,0.5674810491460338
U_392,15640,15839,Agg_69,350.44776450430646,Aggressive,0.5643682138541447
U_393,15680,15879,Agg_71,355.2715481440447,Aggressive,0.5599418090519803
U_394,15720,15919,Agg_104,366.8006632270336,Aggressive,0.549502586243969
U_395,15760,15959,Agg_168,334.9752258199223,Aggressive,0.5788036358221823
U_396,15800,15999,Agg_114,328.157049072986,Aggressive,0.5852814422222863
U_397,15840,16039,Agg_115,342.77145705916297,Aggressive,0.5714844136814247
U_398,15880,16079,Agg_171,338.003739189955,Aggressive,0.5759493518743894
U_399,15920,16119,Agg_172,357.0335882622408,Aggressive,0.5583335954329547
U_400,15960,16159,Agg_173,376.2944520741864,Aggressive,0.5410525615409933
U_401,16000,16199,Agg_107,354.80060226512285,Aggressive,0.5603724251914978
U_402,16040,16239,Agg_104,338.53970434230365,Aggressive,0.5754456885242979
U_403,16080,16279,Agg_117,335.9432982672262,Aggressive,0.5778897215059061
U_404,16120,16319,Agg_168,292.32709930187605,Aggressive,0.6205333397529808
U_405,16160,16359,Agg_169,302.73986600162937,Aggressive,0.6100751848215966
U_406,16200,16399,Agg_168,342.10760029312456,Aggressive,0.5721040310336556
U_407,16240,16439,Agg_168,307.09718131056167,Aggressive,0.6057513584379495
U_408,16280,16479,Agg_168,328.5128832760028,Aggressive,0.5849415855600376
U_409,16320,16519,Agg_168,329.66880229352086,Aggressive,0.5838389304031762
U_410,16360,16559,Agg_169,323.8843502097473,Aggressive,0.5893777433353324
U_411,16400,16599,Agg_50,321.4201835385698,Aggressive,0.5917531994450066
U_412,16440,16639,Agg_118,322.80395314916416,Aggressive,0.5904180696924001
