window_id,start_index,end_index,mean_speed,max_speed,min_speed,std_speed,mean_accel,max_accel,min_accel,std_accel,mean_jerk,max_jerk,std_jerk,gyro_x_std,gyro_y_std,gyro_z_std,aggression_score_template
Agg_172,6840,7039,3.5408843240691863,10.591113370763,0.5820275396107977,3.3881333818993506,-0.10840571628724512,15.929786572734754,-15.929786572734754,3.5877684372178944,-0.3125907618099078,1112.7016867034451,134.55402604049303,1.8296245591028766,1.5516763569519647,2.133963466559949,0.9037701690776312
Agg_171,6800,6999,6.22901670376386,16.788569036666132,0.5820275396107977,5.937664126112147,0.29947094844549843,15.929786572734754,-15.929786572734754,3.6253072151821777,-0.3141140999321447,1112.7016867034451,134.43630506736844,1.8208845526568522,1.5341287674772202,2.1250233050983747,0.902909867075247
Agg_173,6880,7079,1.7620023860678569,3.91899339427318,0.5820275396107977,1.2395443728697195,-0.44533534459315244,15.929786572734754,-15.929786572734754,3.225642276509906,-0.34046677486890475,1112.7016867034451,126.8910246037098,1.8268624175463013,1.473104528635664,2.1247240526363917,0.9028810703366905
Agg_3,80,279,1.3348800058364867,4.896000051498413,0.0,1.9833414655687245,0.03253260233870572,20.418566456254958,-20.418566456254958,2.4198640637373994,-0.0004885219970924481,766.9617784806314,94.69380419073326,1.0247753941680056,1.074069673438763,0.9569060069146842,0.7546542354679062
Agg_2,40,239,0.4903199948072433,4.896000051498413,0.0,0.8777218930195002,0.014683175462348763,20.418566456254958,-20.418566456254958,2.4132563288281625,-0.022831131073336605,766.9617784806314,94.63774887403471,1.01778328840462,1.0788782509819865,0.9561361308211732,0.7545801511297562
Agg_4,120,319,2.167200014591217,4.896000051498413,0.0,2.2463581254290332,0.10485030211189883,20.418566456254958,-20.418566456254958,2.419261151147046,-0.18664577351389597,766.9617784806314,95.00538253030717,1.0289564875879949,1.0735369787891427,0.9461676209854412,0.7536208922831092
Agg_5,160,359,2.167200014591217,4.896000051498413,0.0,2.246358125429033,0.1317871637426331,20.418566456254958,-20.418566456254958,2.4031436738936347,-0.035592274633822606,766.9617784806314,94.16353048946635,0.9895327135033678,1.0443294924501734,0.8814574745251949,0.7473939053529961
Agg_170,6760,6959,10.140872838313703,21.1133380570862,0.5820275396107977,7.4325363742233606,0.6891708684614841,15.231244321650353,-15.231244321650353,2.39841125768975,-0.525047629704136,1112.7016867034451,116.26102599746011,0.6876580060728017,0.8228947669758784,0.5714747590487829,0.7384383317761574
Agg_6,200,399,2.135880015492439,4.896000051498413,0.0,2.2696137116145843,-0.0030887150610452753,20.418566456254958,-20.418566456254958,1.8427221987017013,-0.8898315206141671,766.9617784806314,73.62365214095821,0.4204986183951329,0.35810703834436,0.40813102902358106,0.701846216913963
Agg_1,0,199,0.36107999897003173,1.0439999699592588,0.0,0.4444897845421802,0.02853707574759246,14.046851364389504,-14.046851364389504,1.6633684946998881,0.43567251101147053,429.4068139837524,61.77408442236068,0.9592794467581187,1.0461824300415226,0.874227873281434,0.48115026545568096
