time,seconds_elapsed,z,y,x
1781099236650826800,0.09082666015625,-0.9229888916015625,-0.296417236328125,-0.020233154296875
1781099236675901700,0.115901611328125,-0.9311370849609375,-0.2888031005859375,-0.025146484375
1781099236700976600,0.1409765625,-0.954925537109375,-0.285675048828125,-0.0234832763671875
1781099236726051600,0.166051513671875,-0.942657470703125,-0.2920074462890625,-0.0225067138671875
1781099236751126500,0.19112646484375,-0.9333038330078125,-0.292999267578125,-0.02740478515625
1781099236776201500,0.216201416015625,-0.93719482421875,-0.29241943359375,-0.018157958984375
1781099236801276700,0.241276611328125,-0.9713897705078125,-0.2887115478515625,-0.0140533447265625
1781099236826351600,0.2663515625,-0.974029541015625,-0.2878265380859375,-0.022979736328125
1781099236851426600,0.291426513671875,-0.9594268798828125,-0.29693603515625,-0.02813720703125
1781099236876501500,0.31650146484375,-0.9414520263671875,-0.2994537353515625,-0.0274658203125
1781099236901576400,0.341576416015625,-0.95037841796875,-0.3007659912109375,-0.0161285400390625
1781099236926651400,0.3666513671875,-0.9569549560546875,-0.306060791015625,-0.025177001953125
1781099236951726000,0.39172607421875,-0.963958740234375,-0.3024749755859375,-0.0189208984375
1781099236976801000,0.416801025390625,-0.9640960693359375,-0.2985687255859375,-0.0190277099609375
1781099237001876000,0.4418759765625,-0.95513916015625,-0.3023834228515625,-0.017364501953125
1781099237026951000,0.466950927734375,-0.9589691162109375,-0.3007049560546875,-0.023223876953125
1781099237052025900,0.49202587890625,-0.9737701416015625,-0.2979736328125,-0.02435302734375
1781099237077101000,0.51710107421875,-0.9601898193359375,-0.3009033203125,-0.0234527587890625
1781099237102176000,0.542176025390625,-0.9405059814453125,-0.302642822265625,-0.0142364501953125
1781099237127251000,0.5672509765625,-0.955535888671875,-0.29730224609375,-0.0114593505859375
1781099237152326000,0.592325927734375,-0.956146240234375,-0.30120849609375,-0.0205535888671875
1781099237177400800,0.61740087890625,-0.93939208984375,-0.2999267578125,-0.0127105712890625
1781099237202475800,0.642475830078125,-0.949249267578125,-0.2989349365234375,-0.01318359375
1781099237227551000,0.667551025390625,-0.9624786376953125,-0.2922821044921875,-0.007415771484375
