time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1781099236662109700,0.102109619140625,-1.9722968775659764,0.07286720334837526,-0.8260378934759498,-0.011776924234992568,0.545703653200521,-0.12066219216985376,0.2826181483326195
1781099236687184600,0.1271845703125,-1.9723492991118892,0.07303343073108043,-0.8260538758136244,-0.011032269581702893,0.5457476121221851,-0.12025250868081495,0.2821130024311389
1781099236712259600,0.152259521484375,-1.9727662440050173,0.0730073854690271,-0.8261640228650631,-0.01110839465499966,0.5455661511420657,-0.12033449905978373,0.282224451471494
1781099236737334500,0.17733447265625,-1.9733591003645212,0.07290058326044659,-0.826320447194742,-0.011511653770610197,0.5452825649288447,-0.1206102689909032,0.2825738019770727
1781099236762409700,0.20240966796875,-1.9739627353756521,0.07273202047162279,-0.8265058115163612,-0.011648634288573557,0.5450364273780194,-0.12055541083463273,0.2822972442758042
1781099236787484700,0.227484619140625,-1.974572198721882,0.07212664100492892,-0.8267538256580343,-0.012381189606585897,0.5447804614934236,-0.12037520404771707,0.28132384083981
1781099236812559600,0.2525595703125,-1.9747294373950326,0.07145457060603552,-0.8268561838440291,-0.013943401732186765,0.5446237207804683,-0.12078098580231805,0.2812624560043441
1781099236837634600,0.277634521484375,-1.9747945924597297,0.07115081624231251,-0.8268500900204077,-0.01566133526943441,0.5444298580076178,-0.12187142835681924,0.28276515986685874
1781099236862709500,0.30270947265625,-1.975105265861564,0.07111788309238135,-0.8268848279907458,-0.01670815589063896,0.544172584579029,-0.12280048733567002,0.2842988590922115
1781099236887784400,0.327784423828125,-1.9754604671646414,0.07138236035194218,-0.826950496264188,-0.01614055011977669,0.5440525879117765,-0.12273673186734117,0.2844878444661998
1781099236912859600,0.352859619140625,-1.9754285061691341,0.07175410510046172,-0.8269400312563849,-0.014647986448090644,0.5441953422639974,-0.12195539771748765,0.2835817203359165
1781099236937934600,0.3779345703125,-1.9754522192135262,0.07193365765390639,-0.8269468448431757,-0.013890826785392527,0.544251810190096,-0.12155043817395068,0.28309787719523977
1781099236963008800,0.4030087890625,-1.9754966622961265,0.0720367149021901,-0.826940442035693,-0.013819010832189312,0.5442260965516194,-0.12164759193502744,0.2833765796339381
1781099236988083700,0.428083740234375,-1.9754062275439284,0.07263198883485007,-0.8268495605687347,-0.012683477078304613,0.5443141665536819,-0.12151730859245345,0.2838173461182049
1781099237013159000,0.453158935546875,-1.975105092624681,0.07324571253124443,-0.8267139986418559,-0.011263817055463877,0.5445234269382919,-0.12113287367297065,0.28384879455532314
1781099237038233900,0.47823388671875,-1.9749054353632058,0.07374621582157141,-0.8266096885603649,-0.010211370568487536,0.544661581524787,-0.12091976615041537,0.2840444949770788
1781099237063309800,0.503309814453125,-1.975121960711424,0.0744016212792423,-0.8265508933281128,-0.009736336758697287,0.5445297059958445,-0.12151290283715105,0.28577487298566034
1781099237088384800,0.528384765625,-1.9754611588191753,0.07535681731421005,-0.8264889845298204,-0.008665639092281938,0.5443740653587507,-0.12204149853219154,0.28773023541600456
1781099237113459700,0.553459716796875,-1.9756518577465234,0.07636588900196636,-0.826424105754381,-0.006645890262906525,0.5443903437511572,-0.12178078631438449,0.2884127156217208
1781099237138535000,0.578534912109375,-1.9759949347058867,0.07713956690439924,-0.8264296200115462,-0.004997085742626696,0.5443320186854894,-0.12151675760232974,0.28882820949533733
