time,seconds_elapsed,z,y,x
1781099236662109700,0.102109619140625,-52.065765380859375,16.433395385742188,-12.7554931640625
1781099236687184600,0.1271845703125,-52.34593200683594,16.46784210205078,-13.15228271484375
1781099236712259600,0.152259521484375,-52.36524963378906,16.624969482421875,-13.253196716308594
1781099236737334500,0.17733447265625,-52.53254699707031,16.55127716064453,-13.1883544921875
1781099236762409700,0.20240966796875,-52.58494567871094,16.556106567382812,-13.16180419921875
1781099236787484700,0.227484619140625,-52.64143371582031,16.634071350097656,-13.23956298828125
1781099236812559600,0.2525595703125,-52.70306396484375,16.622337341308594,-13.201217651367188
1781099236837634600,0.277634521484375,-52.49452209472656,16.373199462890625,-13.499435424804688
1781099236862709500,0.30270947265625,-52.427001953125,16.199661254882812,-13.580947875976562
1781099236887784400,0.327784423828125,-52.40074157714844,16.22113037109375,-13.686180114746094
1781099236912859600,0.352859619140625,-52.59181213378906,16.506797790527344,-13.153617858886719
1781099236937934600,0.3779345703125,-52.41687774658203,16.57129669189453,-13.064735412597656
1781099236963008800,0.4030087890625,-52.23778533935547,16.322532653808594,-13.346382141113281
1781099236988083700,0.428083740234375,-52.26386260986328,16.518142700195312,-13.316871643066406
1781099237013159000,0.453158935546875,-52.276527404785156,16.530540466308594,-13.242134094238281
1781099237038233900,0.47823388671875,-52.217979431152344,16.512237548828125,-13.113601684570312
1781099237063309800,0.503309814453125,-52.10541534423828,16.411941528320312,-13.130729675292969
1781099237088384800,0.528384765625,-52.24689483642578,16.30292510986328,-13.262893676757812
1781099237113459700,0.553459716796875,-52.10436248779297,16.45709228515625,-13.095794677734375
1781099237138535000,0.578534912109375,-52.30200958251953,16.420745849609375,-12.930992126464844
1781099237163609900,0.60360986328125,-52.271751403808594,16.42530059814453,-12.970466613769531
1781099237188685000,0.62868505859375,-52.140480041503906,16.35565185546875,-12.73760986328125
1781099237213760000,0.653760009765625,-52.06188201904297,16.49554443359375,-12.480010986328125
1781099237238835000,0.6788349609375,-52.22228240966797,16.658721923828125,-12.486053466796875
1781099237263910000,0.703909912109375,-52.32085418701172,16.339805603027344,-13.017601013183594
1781099237288984800,0.72898486328125,-52.38353729248047,16.2105712890625,-13.303009033203125
1781099237314060000,0.75406005859375,-52.105369567871094,16.236923217773438,-13.566673278808594
1781099237339135000,0.779135009765625,-51.99921417236328,16.51544189453125,-13.519386291503906
1781099237364211000,0.8042109375,-52.17028045654297,16.815719604492188,-13.239997863769531
1781099237389286000,0.829285888671875,-52.24932098388672,16.870986938476562,-13.092803955078125
