time,seconds_elapsed,z,y,x
1781099236662109700,0.102109619140625,-9.416953347799181,-2.7347891212731597,-0.11090787746887654
1781099236687184600,0.1271845703125,-9.418413483479618,-2.730031405352056,-0.1039106937916018
1781099236712259600,0.152259521484375,-9.418101348790525,-2.731081206665933,-0.1046242854210548
1781099236737334500,0.17733447265625,-9.41710356992483,-2.7343714803829786,-0.10841122921439818
1781099236762409700,0.20240966796875,-9.417844743680954,-2.7317668508425355,-0.10970999118750914
1781099236787484700,0.227484619140625,-9.420416055473686,-2.722597455959022,-0.11664191847569308
1781099236812559600,0.2525595703125,-9.42038975198865,-2.722019363810122,-0.13136079157935454
1781099236837634600,0.277634521484375,-9.416049676957726,-2.7361735613688825,-0.14747996906815095
1781099236862709500,0.30270947265625,-9.411682713919877,-2.7506135901317,-0.15726650946931914
1781099236887784400,0.327784423828125,-9.411250752243399,-2.752392290242016,-0.15191596048790962
1781099236912859600,0.352859619140625,-9.413957088592648,-2.74386236230582,-0.13790538178407585
1781099236937934600,0.3779345703125,-9.415385075569151,-2.7393065986976026,-0.1307958968387451
1781099236963008800,0.4030087890625,-9.414630457809567,-2.741931101982295,-0.1301091658167541
1781099236988083700,0.428083740234375,-9.413563120839,-2.7460806228771806,-0.11940310855102725
1781099237013159000,0.453158935546875,-9.4136367705971,-2.7463766832143066,-0.10603796074441633
1781099237038233900,0.47823388671875,-9.41320539344251,-2.748219096210599,-0.09612507228353061
1781099237063309800,0.503309814453125,-9.408480703008175,-2.764504168318212,-0.0916070286035072
1781099237088384800,0.528384765625,-9.403149863374233,-2.78289673409909,-0.08148634261083788
1781099237113459700,0.553459716796875,-9.401393959617614,-2.789313907665014,-0.06248155408259481
1781099237138535000,0.578534912109375,-9.400324284559488,-2.793219975192845,-0.046974617607472464
1781099237163609900,0.60360986328125,-9.399155825302005,-2.797303445114195,-0.03668399557510856
1781099237188685000,0.62868505859375,-9.40128816115558,-2.7903017496585845,-0.01962491602085065
1781099237213760000,0.653760009765625,-9.404763143789769,-2.7786320623919365,-0.004184339904872467
1781099237238835000,0.6788349609375,-9.403054001784325,-2.784401877965033,-0.008109593336252146
1781099237263910000,0.703909912109375,-9.398657812651992,-2.798935722491145,-0.0396994755053427
1781099237288984800,0.72898486328125,-9.397117597472667,-2.802831853146851,-0.09325827554240822
1781099237314060000,0.75406005859375,-9.40194107210636,-2.7852675548836587,-0.12716625336580908
