time,seconds_elapsed,z,y,x
1781099236632472600,0.07247265625,-172.93319702148438,125.57489013671875,-101.88273620605469
1781099236673649700,0.113649658203125,-173.31619262695312,125.84333801269531,-102.16899108886719
1781099236714825700,0.15482568359375,-173.49061584472656,125.78712463378906,-102.1302490234375
1781099236756002600,0.19600244140625,-173.54891967773438,125.78950500488281,-102.25944519042969
1781099236797179600,0.2371796875,-173.52981567382812,125.80488586425781,-102.40220642089844
1781099236838355500,0.27835546875,-173.55271911621094,125.71604919433594,-102.69212341308594
1781099236879531500,0.319531494140625,-173.40106201171875,125.45411682128906,-102.82162475585938
1781099236920707600,0.36070751953125,-173.220703125,125.9818115234375,-102.27037048339844
1781099236961880000,0.401880126953125,-173.2296600341797,125.50889587402344,-102.37435913085938
1781099237003053800,0.4430537109375,-173.2548370361328,125.85008239746094,-102.25566101074219
1781099237044230000,0.48422998046875,-173.2625732421875,125.66123962402344,-102.19943237304688
1781099237085404000,0.52540380859375,-173.29661560058594,125.49763488769531,-102.39976501464844
1781099237126578700,0.56657861328125,-172.96534729003906,125.93888854980469,-101.67599487304688
1781099237167758000,0.607758056640625,-173.3353271484375,125.69039916992188,-101.86447143554688
1781099237208934700,0.6489345703125,-173.0487060546875,125.79911804199219,-101.55055236816406
1781099237250111700,0.69011181640625,-173.32489013671875,125.52496337890625,-102.08712768554688
1781099237291291000,0.731290771484375,-173.04937744140625,125.51564025878906,-102.319580078125
1781099237332467700,0.7724677734375,-173.0259552001953,125.84017944335938,-102.59226989746094
1781099237373644800,0.813644775390625,-173.0463409423828,126.16127014160156,-102.08059692382812
1781099237414820900,0.85482080078125,-173.30043029785156,125.95697021484375,-102.22073364257812
1781099237455996000,0.895995849609375,-173.2725372314453,125.977783203125,-102.23429870605469
1781099237497172000,0.937171875,-172.9452362060547,126.06205749511719,-101.80833435058594
1781099237538345000,0.978344970703125,-173.24095153808594,126.0196533203125,-102.44651794433594
1781099237579518000,1.01951806640625,-172.8892822265625,126.16275024414062,-102.58831787109375
1781099237620690000,1.06068994140625,-173.43447875976562,126.29986572265625,-102.42918395996094
1781099237661866000,1.101865966796875,-173.17999267578125,126.23579406738281,-102.7115478515625
1781099237703039000,1.1430390625,-172.9413604736328,125.70133972167969,-103.31309509277344
1781099237744211000,1.1842109375,-173.14862060546875,125.67822265625,-103.44802856445312
1781099237785384000,1.225384033203125,-173.09326171875,126.19093322753906,-103.52610778808594
1781099237826558000,1.266557861328125,-172.89295959472656,126.14634704589844,-103.32585144042969
1781099237867734800,1.30773486328125,-172.95960998535156,126.20404052734375,-103.83377075195312
1781099237908911000,1.3489111328125,-172.89068603515625,126.63916015625,-103.6383056640625
1781099237950088200,1.390088134765625,-172.9781036376953,126.71426391601562,-103.92391967773438
1781099237991265300,1.431265380859375,-172.66305541992188,127.26084899902344,-103.71244812011719
1781099238032438300,1.472438232421875,-172.92869567871094,127.33786010742188,-103.80886840820312
1781099238073612300,1.5136123046875,-172.79718017578125,127.39938354492188,-103.69534301757812
1781099238114785300,1.554785400390625,-172.4940185546875,127.54212951660156,-103.53033447265625
1781099238155959000,1.595958984375,-172.61642456054688,127.5723876953125,-103.70500183105469
1781099238197133300,1.63713330078125,-172.90765380859375,127.43399047851562,-103.50440979003906
1781099238238308000,1.67830810546875,-172.61170959472656,127.81010437011719,-103.02810668945312
1781099238279483400,1.7194833984375,-172.31890869140625,127.76161193847656,-103.28369140625
