time,seconds_elapsed,magneticBearing
1781099236662109700,0.102109619140625,37.818378704994046
1781099236687184600,0.1271845703125,38.613124119507354
1781099236712259600,0.152259521484375,38.56137003833825
1781099236737334500,0.17733447265625,38.54846551438973
1781099236762409700,0.20240966796875,38.484062187460495
1781099236787484700,0.227484619140625,38.51734820097659
1781099236812559600,0.2525595703125,38.456089841992444
1781099236837634600,0.277634521484375,39.50502378452184
1781099236862709500,0.30270947265625,39.97470697537947
1781099236887784400,0.327784423828125,40.15517711491892
1781099236912859600,0.352859619140625,38.54996293842069
1781099236937934600,0.3779345703125,38.25208635200181
1781099236963008800,0.4030087890625,39.27170366127047
1781099236988083700,0.428083740234375,38.87564447258861
1781099237013159000,0.453158935546875,38.69720039783002
1781099237038233900,0.47823388671875,38.455714665416764
1781099237063309800,0.503309814453125,38.66231250640965
1781099237088384800,0.528384765625,39.129335776590466
1781099237113459700,0.553459716796875,38.511155553442926
1781099237138535000,0.578534912109375,38.21968854633297
1781099237163609900,0.60360986328125,38.29687585437818
1781099237188685000,0.62868505859375,37.91108395696897
1781099237213760000,0.653760009765625,37.11000521261827
1781099237238835000,0.6788349609375,36.852310407890954
1781099237263910000,0.703909912109375,38.54364129625686
1781099237288984800,0.72898486328125,39.37359968914568
1781099237314060000,0.75406005859375,39.88026088816582
1781099237339135000,0.779135009765625,39.30343541174256
1781099237364211000,0.8042109375,38.215423657262804
1781099237389286000,0.829285888671875,37.813408871977195
1781099237414360800,0.85436083984375,38.03585906568862
1781099237439436000,0.87943603515625,38.1453542350688
1781099237464511000,0.904510986328125,38.16463264974924
1781099237489586000,0.9295859375,37.51686420817044
1781099237514660900,0.954660888671875,37.200937169915825
1781099237539737000,0.979737060546875,38.30126586906176
1781099237564812000,1.00481201171875,38.76675546704184
1781099237589887000,1.029886962890625,38.633172249088695
1781099237614962000,1.0549619140625,38.11473880185613
1781099237640036900,1.080036865234375,38.03309849211986
1781099237665111800,1.10511181640625,38.66612571608535
1781099237690188000,1.13018798828125,39.5266530997585
1781099237715263000,1.155262939453125,41.07694149438349
1781099237740338000,1.180337890625,40.99101971961815
1781099237765412900,1.205412841796875,40.80415151420654
1781099237790488800,1.23048876953125,40.48456067973963
1781099237815564000,1.25556396484375,39.721712100527526
1781099237840639000,1.280638916015625,41.10116717380024
1781099237865714000,1.3057138671875,41.39285537034329
1781099237890790000,1.330789794921875,41.17267701249933
1781099237915864800,1.35586474609375,40.13910234630621
1781099237940940000,1.38093994140625,40.389914005642616
1781099237966015000,1.406014892578125,40.11403126372816
1781099237991091200,1.43109130859375,39.200985644137305
1781099238016166100,1.456166259765625,39.42862537884182
1781099238041241000,1.481240966796875,39.17805578328273
1781099238066317300,1.5063173828125,38.803079788277536
1781099238091392300,1.531392333984375,38.546017355664475
1781099238116467200,1.55646728515625,38.29653586464045
1781099238141543200,1.581543212890625,37.92855591275928
1781099238166618000,1.6066181640625,38.42463913895883
1781099238191693300,1.631693359375,37.79344775388311
1781099238216769300,1.656769287109375,37.85791295322261
1781099238241844200,1.68184423828125,36.95241771762542
1781099238266919200,1.706919189453125,37.281352351467866
1781099238291995400,1.731995361328125,37.5258316050291
1781099238317070300,1.7570703125,37.3601927335761
1781099238342145300,1.782145263671875,37.34470851685008
1781099238367221000,1.807220947265625,37.27413738397163
1781099238392296200,1.832296142578125,37.38425411051134
1781099238417371400,1.857371337890625,37.51031585713645
1781099238442447000,1.882447021484375,37.56622019571748
1781099238467522000,1.90752197265625,36.28045595237549
1781099238492597000,1.932596923828125,35.946775890990914
1781099238517673200,1.957673095703125,36.08631312470401
1781099238542748200,1.982748046875,37.415865819351026
1781099238567824100,2.00782421875,38.91081019128183
1781099238592899300,2.0328994140625,39.853101009862684
1781099238617974300,2.057974365234375,40.15517663695362
1781099238643050200,2.08305029296875,39.55268897726457
1781099238668125200,2.108125244140625,40.12063514085466
1781099238693200100,2.1332001953125,41.037379691288066
1781099238718276400,2.1582763671875,41.27409407733895
1781099238743351300,2.183351318359375,40.68874586646071
1781099238768426200,2.20842626953125,40.18179027025472
1781099238793502200,2.233502197265625,39.74170410518461
1781099238818577400,2.258577392578125,39.8345794642711
1781099238843653000,2.283653076171875,40.63693130299413
1781099238868728000,2.30872802734375,41.04252505244071
1781099238893803000,2.333802978515625,40.78202672157258
1781099238918879200,2.358879150390625,40.957706945361466
1781099238943955000,2.383954833984375,40.83126872627181
1781099238969030000,2.40902978515625,41.042891308047594
1781099238994105900,2.43410595703125,41.80918212053555
1781099239019180800,2.459180908203125,42.601789039004245
1781099239044255700,2.484255859375,44.42177766579055
1781099239069332000,2.50933203125,44.84616361039814
1781099239094407000,2.534406982421875,45.26825869531197
1781099239119481900,2.55948193359375,45.41609002292817
1781099239144558000,2.58455810546875,45.15669222218136
1781099239169633000,2.609633056640625,44.84103347054226
1781099239194708000,2.6347080078125,44.27280050038033
1781099239219783700,2.65978369140625,43.71263931994484
1781099239244858600,2.684858642578125,42.81310797894638
1781099239269933800,2.709933837890625,43.568406209331854
1781099239295009800,2.735009765625,44.08910146191753
1781099239320084700,2.760084716796875,45.56644423890821
1781099239345159700,2.78515966796875,45.72641230979901
1781099239370236000,2.81023583984375,45.91249328378377
1781099239395310800,2.835310791015625,44.71536264587204
1781099239420385800,2.8603857421875,44.06997545734353
1781099239445461800,2.885461669921875,42.84220764136551
1781099239470537000,2.910536865234375,42.37604410436032
1781099239495612000,2.93561181640625,43.25603825064377
1781099239520687900,2.96068798828125,44.855119094522564
1781099239545762800,2.9857626953125,48.74932801566838
1781099239570837800,3.010837646484375,51.69001636483754
1781099239595914000,3.0359140625,53.85528118369034
1781099239620989000,3.060989013671875,56.446734092594156
1781099239646063900,3.08606396484375,57.080119663143414
1781099239671139800,3.111139892578125,58.25954570475234
1781099239696215000,3.136215087890625,59.71318403435824
1781099239721290000,3.1612900390625,62.37231583945855
1781099239746365000,3.186364990234375,64.64264576315536
1781099239771440600,3.211440673828125,66.1776708109701
1781099239796515800,3.236515869140625,67.86945969164115
1781099239821590800,3.2615908203125,69.84491721889738
1781099239846666800,3.286666748046875,71.53466863027666
1781099239871741700,3.31174169921875,72.84739547710667
1781099239896816600,3.336816650390625,73.48783038665746
1781099239921266700,3.3612666015625,73.42366740131204
1781099239946342000,3.386341796875,73.54787669596067
1781099239971417900,3.41141796875,73.74458988133514
1781099239996492800,3.436492919921875,74.79925411348383
1781099240021567700,3.461567626953125,75.79537441715367
1781099240046644000,3.48664404296875,75.99489529071761
1781099240071719000,3.511718994140625,75.95611793742856
1781099240096793900,3.5367939453125,75.65738897121228
1781099240121869800,3.561869873046875,75.07516902543311
1781099240146944800,3.58694482421875,74.99979970598348
1781099240172020000,3.61202001953125,74.43967408680285
1781099240197095000,3.637094970703125,73.70245152468351
1781099240222171000,3.6621708984375,71.6362975316745
1781099240247245800,3.687245849609375,70.30527741549237
1781099240272321000,3.712321044921875,69.18556256067835
1781099240297397000,3.73739697265625,69.96893827272692
1781099240322472000,3.762471923828125,70.85656238717465
1781099240347547000,3.787546875,74.11437930013085
1781099240372621800,3.812621826171875,77.88956723071773
1781099240397698000,3.837697998046875,83.816100797106
1781099240422773000,3.86277294921875,87.69923897771089
1781099240447848000,3.887847900390625,91.14562342341787
1781099240472924000,3.912923828125,94.72247916929994
1781099240497998800,3.937998779296875,95.78302265725755
1781099240523073800,3.96307373046875,95.27476648923924
1781099240548149800,3.988149658203125,94.21580238273512
1781099240573224700,4.013224609375,93.26841773912581
1781099240598300000,4.0382998046875,93.87535329411246
1781099240623374800,4.063374755859375,95.1695775602885
1781099240648450800,4.088450927734375,95.77574318997692
1781099240673525800,4.11352587890625,96.13927621042093
1781099240698600700,4.1386005859375,97.25908772169004
1781099240723677000,4.163677001953125,98.70956173021585
1781099240748752000,4.188751953125,99.69077896438944
1781099240773826800,4.213826904296875,99.4597042219225
1781099240798901800,4.23890185546875,98.20779952509297
1781099240823978000,4.26397802734375,97.4713216725232
1781099240849053000,4.289052978515625,96.427121020659
1781099240874128000,4.3141279296875,94.71001523434614
1781099240899203800,4.339203857421875,93.03938285417914
1781099240924279000,4.364279052734375,88.92156047460823
1781099240949353200,4.389353271484375,84.77914898073337
1781099240974429400,4.414429443359375,78.06289782748301
1781099240999504400,4.43950439453125,74.51900679049287
1781099241024579300,4.464579345703125,70.84913213035837
1781099241049654300,4.489654296875,68.42435834650888
1781099241074730500,4.51473046875,65.56001079290739
1781099241099805400,4.539805419921875,60.78765970204616
1781099241124880400,4.56488037109375,58.39056458909633
1781099241149956400,4.589956298828125,55.08542715752211
1781099241175031300,4.61503125,52.83361622704309
1781099241200106500,4.6401064453125,48.506013124650465
1781099241225182200,4.66518212890625,44.69811148040346
1781099241250257200,4.690257080078125,40.52231070023498
1781099241275332400,4.715332275390625,33.736825322079554
1781099241300408300,4.740408203125,30.678115440003733
1781099241325483300,4.765483154296875,29.24693766751556
1781099241350558200,4.79055810546875,27.954304944595627
1781099241375634400,4.815634521484375,25.389418027540867
1781099241400709400,4.84070947265625,23.242988668526383
1781099241425784300,4.865784423828125,19.66328765331909
1781099241450860300,4.8908603515625,14.84043750083958
1781099241475935200,4.915935302734375,13.548364397640906
1781099241501010400,4.941010498046875,10.944984371596629
1781099241526086400,4.96608642578125,7.569432750339913
1781099241551161300,4.991161376953125,1.703990966454874
1781099241576237600,5.016237548828125,358.8990791260857
1781099241601312500,5.0413125,356.69556567686186
1781099241626387500,5.066387451171875,355.91433873849917
1781099241651463200,5.091463134765625,355.46093032130653
1781099241676538000,5.1165380859375,354.3538656666373
1781099241701613300,5.14161328125,354.0007192588786
1781099241726689300,5.166689208984375,353.69291927615757
1781099241751764200,5.19176416015625,353.6587740610369
1781099241776840400,5.21684033203125,352.60633245359816
1781099241801915400,5.241915283203125,350.24098020527265
1781099241826990300,5.266990234375,346.6890419014677
1781099241852066300,5.29206640625,339.7423183736159
1781099241877141200,5.317141357421875,334.52214104424536
