time,seconds_elapsed,z,y,x
1781099236662109700,0.102109619140625,0.0016746711917221546,0.04221160709857941,-0.013333488255739212
1781099236687184600,0.1271845703125,-0.008743246085941792,0.014578258618712425,-0.019155871123075485
1781099236712259600,0.152259521484375,-0.025471508502960205,-0.027442481368780136,0.015905022621154785
1781099236737334500,0.17733447265625,-0.02187487669289112,-0.006583430338650942,0.003021225333213806
1781099236762409700,0.20240966796875,-0.027151869609951973,-0.019505828619003296,-0.028992854058742523
1781099236787484700,0.227484619140625,-0.01542757824063301,-0.05235012620687485,-0.04154781624674797
1781099236812559600,0.2525595703125,-0.002011621370911598,-0.06315567344427109,0.028713032603263855
1781099236837634600,0.277634521484375,-0.010582802817225456,-0.06416719406843185,0.0669594407081604
1781099236862709500,0.30270947265625,-0.01549302227795124,-0.011337323114275932,0.038734838366508484
1781099236887784400,0.327784423828125,-0.00930764153599739,0.040393054485321045,-0.024526508525013924
1781099236912859600,0.352859619140625,0.0046280138194561005,0.06303693354129791,-0.03737104684114456
1781099236937934600,0.3779345703125,-0.001467429450713098,0.005598138552159071,-0.005339347291737795
1781099236963008800,0.4030087890625,-0.0023623062297701836,0.025011098012328148,0.022734833881258965
1781099236988083700,0.428083740234375,0.008910340256989002,0.06311450898647308,0.004540120717138052
1781099237013159000,0.453158935546875,0.00915728323161602,0.05804630368947983,-0.012453990988433361
1781099237038233900,0.47823388671875,0.000049320515245199203,0.03262145817279816,0.031524963676929474
1781099237063309800,0.503309814453125,-0.01640251651406288,0.01543699111789465,0.08304821699857712
1781099237088384800,0.528384765625,-0.010323398746550083,0.06905494630336761,0.049506932497024536
1781099237113459700,0.553459716796875,-0.009276803582906723,0.08413730561733246,0.012954726815223694
1781099237138535000,0.578534912109375,-0.021267589181661606,0.04284736141562462,0.020756829530000687
1781099237163609900,0.60360986328125,-0.03193316236138344,0.044374626129865646,-0.0005062655545771122
1781099237188685000,0.62868505859375,-0.02778555452823639,0.07959173619747162,-0.057789262384176254
1781099237213760000,0.653760009765625,-0.022687070071697235,0.027045758441090584,-0.021452732384204865
1781099237238835000,0.6788349609375,-0.030772458761930466,-0.07128389924764633,0.06101631000638008
1781099237263910000,0.703909912109375,-0.017288384959101677,-0.2091892659664154,0.04436615854501724
1781099237288984800,0.72898486328125,0.0006995194125920534,-0.22455854713916779,-0.021233221516013145
1781099237314060000,0.75406005859375,0.010317258536815643,-0.01566152088344097,-0.131547212600708
1781099237339135000,0.779135009765625,0.0038676680997014046,0.1511024385690689,-0.19201718270778656
1781099237364211000,0.8042109375,0.02634035050868988,0.1447618454694748,-0.0892544761300087
1781099237389286000,0.829285888671875,0.013399302028119564,0.06919020414352417,0.01403041835874319
1781099237414360800,0.85436083984375,0.018401717767119408,0.009497374296188354,-0.001738501712679863
1781099237439436000,0.87943603515625,0.011806830763816833,-0.008221333846449852,-0.05112319067120552
1781099237464511000,0.904510986328125,-0.01307674590498209,-0.0012520449236035347,-0.03927033767104149
1781099237489586000,0.9295859375,-0.04744921252131462,-0.06692402064800262,0.08054036647081375
1781099237514660900,0.954660888671875,-0.06949566304683685,-0.10553532838821411,0.0847012847661972
