time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1781099236000030000,-0.559969970703125,3.45233154296875,1.4900000095367432,-1,23.06370867884072,58.613555908203125,-1,21.767766507464174,3,72.65235956765027,0
1781099237000021200,0.440021240234375,3.91424560546875,2.5199999809265137,71.57741819963384,23.063714755720518,59.075469970703125,69.609375,21.767766507464174,3,72.65237809165627,0.2800000011920929
1781099238000018400,1.440018310546875,4.037109375,1.5700000524520874,96.5831778831574,23.063713079339884,59.198333740234375,275.2734375,21.767766507464174,3,72.65236317186863,0.2199999988079071
1781099239000011000,2.440010986328125,4.4722900390625,1.5700000524520874,99.88517136569754,23.063714588082455,59.633514404296875,114.609375,21.767766507464174,3,72.65236350714476,0
1781099240000003600,3.440003662109375,4.76751708984375,1,97.37661363828111,23.063710941954575,59.928741455078125,146.6015625,21.767766507464174,3,72.6523609925738,0
1781099241000000000,4.44,4.90582275390625,1.0099999904632568,88.86617061168855,23.063707631102822,60.067047119140625,178.59375,21.767766507464174,3,72.65236107639284,0
1781099241999988000,5.439988037109375,5.034149169921875,1.2200000286102295,48.47233965267934,23.063698578647397,60.19537353515625,209.8828125,21.767766507464174,3,72.6523575559935,0.28999999165534973
1781099242999980000,6.43997998046875,4.83660888671875,2.0899999141693115,68.4458447670747,23.063687598354242,59.997833251953125,211.640625,21.767766507464174,3,72.65234900645227,1.3600000143051147
1781099243999975200,7.43997509765625,4.594573974609375,1.440000057220459,88.13700693665466,23.06368256921234,59.75579833984375,206.3671875,21.767766507464174,3,72.65234665951938,1.3600000143051147
1781099244999960000,8.4399599609375,4.543792724609375,1.440000057220459,99.54662620929669,23.06368508378329,59.70501708984375,202.5,21.767766507464174,3,72.65234800062389,0
1781099245999948300,9.4399482421875,4.3680419921875,0.9900000095367432,99.61041334595544,23.06368923282536,59.529266357421875,129.0234375,21.767766507464174,3,72.65235026373774,0
1781099246999943700,10.439943603515625,4.324371337890625,1.2400000095367432,65.54546640773131,23.06369644126209,59.485595703125,49.21875,21.767766507464174,3,72.65235730453641,0
